"filename", "language", "JavaScript", "Vue", "Less", "CSS", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\LittleBearPC\VideoCall-Web\.eslintrc.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\LittleBearPC\VideoCall-Web\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\LittleBearPC\VideoCall-Web\agora.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 10, 0, 13
"d:\LittleBearPC\VideoCall-Web\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\LittleBearPC\VideoCall-Web\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 12346, 0, 0, 1, 12347
"d:\LittleBearPC\VideoCall-Web\package.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 48
"d:\LittleBearPC\VideoCall-Web\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 11, 1, 28
"d:\LittleBearPC\VideoCall-Web\src\App.vue", "Vue", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\LittleBearPC\VideoCall-Web\src\assets\js\common\common.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\LittleBearPC\VideoCall-Web\src\assets\js\signalROptions\signalROptions.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 34, 7, 166
"d:\LittleBearPC\VideoCall-Web\src\components\LoginForm\LoginForm.vue", "Vue", 0, 117, 0, 0, 0, 0, 0, 0, 0, 2, 119
"d:\LittleBearPC\VideoCall-Web\src\components\footer\footer.vue", "Vue", 0, 321, 0, 0, 0, 0, 0, 0, 9, 1, 331
"d:\LittleBearPC\VideoCall-Web\src\components\footer\loginFooter.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"d:\LittleBearPC\VideoCall-Web\src\components\footer\setting.vue", "Vue", 0, 355, 0, 0, 0, 0, 0, 0, 3, 8, 366
"d:\LittleBearPC\VideoCall-Web\src\components\head\head.vue", "Vue", 0, 176, 0, 0, 0, 0, 0, 0, 1, 2, 179
"d:\LittleBearPC\VideoCall-Web\src\components\order\addSampling.vue", "Vue", 0, 106, 0, 0, 0, 0, 0, 0, 1, 0, 107
"d:\LittleBearPC\VideoCall-Web\src\components\order\modalProductDetail.vue", "Vue", 0, 253, 0, 0, 0, 0, 0, 0, 0, 8, 261
"d:\LittleBearPC\VideoCall-Web\src\components\order\product.vue", "Vue", 0, 561, 0, 0, 0, 0, 0, 0, 5, 4, 570
"d:\LittleBearPC\VideoCall-Web\src\components\order\productList.vue", "Vue", 0, 520, 0, 0, 0, 0, 0, 0, 8, 2, 530
"d:\LittleBearPC\VideoCall-Web\src\components\public\AgoraVideoCall.vue", "Vue", 0, 503, 0, 0, 0, 0, 0, 0, 69, 10, 582
"d:\LittleBearPC\VideoCall-Web\src\components\public\carousel\assist.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 0, 17, 43, 331
"d:\LittleBearPC\VideoCall-Web\src\components\public\carousel\carousel.vue", "Vue", 0, 367, 0, 0, 0, 0, 0, 0, 17, 10, 394
"d:\LittleBearPC\VideoCall-Web\src\components\public\carousel\dom.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 3, 37
"d:\LittleBearPC\VideoCall-Web\src\components\public\carousel\icon.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"d:\LittleBearPC\VideoCall-Web\src\components\public\chart.vue", "Vue", 0, 296, 0, 0, 0, 0, 0, 0, 12, 2, 310
"d:\LittleBearPC\VideoCall-Web\src\components\public\endingMettingModal.vue", "Vue", 0, 187, 0, 0, 0, 0, 0, 0, 6, 1, 194
"d:\LittleBearPC\VideoCall-Web\src\components\public\errorHandler.vue", "Vue", 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\LittleBearPC\VideoCall-Web\src\components\public\escModal.vue", "Vue", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 93
"d:\LittleBearPC\VideoCall-Web\src\components\public\loading\loading.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 11, 4, 35
"d:\LittleBearPC\VideoCall-Web\src\components\public\loading\loading.vue", "Vue", 0, 70, 0, 0, 0, 0, 0, 0, 0, 2, 72
